epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.7168,1.08589,3.49075,1.28613,0.02081,0.36093,0.18564,0.15623,0.75987,3.55468,1.04776,0.00015,0.00015,0.00015
2,11.1155,0.92389,2.49947,1.13954,0.03751,0.40801,0.19157,0.14435,0.78102,3.21178,0.99035,0.000306312,0.000306312,0.000306312
3,14.3397,0.93449,1.60209,1.17253,1,0.1384,0.63087,0.4841,1.00236,2.7185,1.1314,0.00045619,0.00045619,0.00045619
4,17.3827,0.90697,1.39806,1.13862,0.94118,0.35974,0.7698,0.57367,0.9857,2.30692,1.08149,0.000599632,0.000599632,0.000599632
5,19.9394,0.87796,1.21427,1.09405,0.91504,0.34933,0.83469,0.64827,0.95122,2.24956,1.10651,0.00073664,0.00073664,0.00073664
6,22.6602,0.89003,1.15498,1.08746,0.85612,0.34549,0.80056,0.5748,1.03546,2.40559,1.14383,0.000867213,0.000867213,0.000867213
7,25.5738,0.86528,1.11217,1.06942,0.74734,0.58533,0.84765,0.63133,0.88823,2.2208,1.09952,0.00099135,0.00099135,0.00099135
8,27.8494,0.84797,1.06296,1.07802,0.73802,0.75477,0.88633,0.65684,0.93875,1.86925,1.11344,0.00107675,0.00107675,0.00107675
9,30.1287,0.85277,1.05378,1.06871,0.72772,0.79839,0.88625,0.67675,0.90331,1.52021,1.11064,0.001052,0.001052,0.001052
10,32.3965,0.8155,1.03013,1.04458,0.74885,0.72128,0.84302,0.62827,0.90588,1.70166,1.14248,0.00102725,0.00102725,0.00102725
11,34.6404,0.80448,0.98238,1.03977,0.86696,0.815,0.91812,0.67606,0.90283,1.23721,1.1263,0.0010025,0.0010025,0.0010025
12,36.9121,0.77841,0.91315,1.02188,0.91113,0.8484,0.9273,0.712,0.89665,1.09995,1.11571,0.00097775,0.00097775,0.00097775
13,39.1826,0.77936,0.86831,1.03648,0.87779,0.83349,0.9298,0.71001,0.8726,1.09301,1.09897,0.000953,0.000953,0.000953
14,41.483,0.78879,0.91002,1.03178,0.9416,0.81723,0.92639,0.73608,0.83912,1.05916,1.0099,0.00092825,0.00092825,0.00092825
15,43.8847,0.75815,0.85212,1.02281,0.81998,0.91842,0.91589,0.72027,0.8175,1.01238,0.98805,0.0009035,0.0009035,0.0009035
16,46.2472,0.7755,0.87451,1.02403,0.86671,0.85854,0.92031,0.72945,0.8134,0.99613,0.99544,0.00087875,0.00087875,0.00087875
17,48.5973,0.74436,0.8333,1.02954,0.90786,0.90127,0.9338,0.74287,0.80267,1.02153,1.00719,0.000854,0.000854,0.000854
18,50.8016,0.71949,0.80397,1.01999,0.90251,0.89929,0.93131,0.73244,0.84655,1.0188,1.03551,0.00082925,0.00082925,0.00082925
19,53.0371,0.70359,0.79354,1.0018,0.96899,0.84665,0.93715,0.75789,0.81934,0.94662,1.03907,0.0008045,0.0008045,0.0008045
20,55.326,0.73517,0.7977,0.98693,0.91777,0.91046,0.94399,0.73992,0.82336,0.90461,1.02833,0.00077975,0.00077975,0.00077975
21,57.5716,0.68148,0.76556,0.98352,0.93636,0.92619,0.94159,0.74309,0.80595,0.96221,1.01969,0.000755,0.000755,0.000755
22,59.7843,0.6917,0.77388,0.99197,0.9387,0.91907,0.92968,0.73296,0.81123,0.98947,1.03894,0.00073025,0.00073025,0.00073025
23,62.0582,0.71609,0.78239,1.01958,0.93703,0.90922,0.91004,0.72141,0.80641,0.94686,1.03721,0.0007055,0.0007055,0.0007055
